CLUSTER,CLUSTER_LATITUDE,CLUSTER_LONGITUDE,NUMBER_OF_CUSTOMERS_IN_A_CLUSTER,ITERATION,Key,NUMBER_OF_CLUSTERS
0,50.22275014705882,5.0277178707352945,34,11,0,5
1,51.06063686046511,4.706707935046511,43,11,0,5
2,49.637619375,3.16197942225,40,11,0,5
3,49.302471282051286,4.6674398590512824,39,11,0,5
4,50.6740496875,2.89428008975,32,11,0,5
0,50.22275014705882,5.0277178707352945,34,12,0,5
1,51.06063686046511,4.706707935046511,43,12,0,5
2,49.637619375,3.16197942225,40,12,0,5
3,49.302471282051286,4.6674398590512824,39,12,0,5
4,50.6740496875,2.89428008975,32,12,0,5
0,50.282120781250015,4.050055690406251,32,0,0,6
1,50.04781843749999,3.9719513395937494,32,0,0,6
2,50.18245145161292,4.098341779258066,31,0,0,6
3,50.19442483870967,4.022747222290323,31,0,0,6
4,49.90853612903225,4.1168116554193555,31,0,0,6
5,50.44018693548386,4.463806379064517,31,0,0,6
0,50.98210392857145,3.6903004598928573,28,1,0,6
1,49.620181764705876,3.1454057916764704,34,1,0,6
2,50.058569000000006,5.0697089129599995,25,1,0,6
3,50.29443900000001,3.145894742,25,1,0,6
4,49.36537263157895,4.521865878552631,38,1,0,6
5,50.88834697368421,4.920103645368421,38,1,0,6
0,51.078743,3.644464089,25,2,0,6
1,49.530897419354844,3.087567229322581,31,2,0,6
2,50.12550030303031,5.0686865514848485,33,2,0,6
3,50.37758896551723,2.9468402689310333,29,2,0,6
4,49.308183815789484,4.5622130105,38,2,0,6
5,50.994458281250004,5.0481824483125,32,2,0,6
0,51.07438900000001,3.83637354648,25,3,0,6
1,49.530897419354844,3.087567229322581,31,3,0,6
2,50.137583235294116,5.005063307205882,34,3,0,6
3,50.42937333333334,2.8781267909666663,30,3,0,6
4,49.29739171052633,4.592671768973685,38,3,0,6
5,50.99580583333333,5.059857897033334,30,3,0,6
0,51.06913700000002,3.9216502230400003,25,4,0,6
1,49.55098363636364,3.1363736902424244,33,4,0,6
2,50.15621393939394,4.992265124636363,33,4,0,6
3,50.47626112903227,2.843187058258064,31,4,0,6
4,49.29316736842106,4.631941693289474,38,4,0,6
5,51.002901249999994,5.143507980678572,28,4,0,6
0,51.06446615384617,4.004206505769231,26,5,0,6
1,49.557038382352935,3.162000800117647,34,5,0,6
2,50.15621393939394,4.992265124636363,33,5,0,6
3,50.493835625,2.8456721554374993,32,5,0,6
4,49.280635540540544,4.648813214027027,37,5,0,6
5,51.003649807692305,5.193361527576925,26,5,0,6
0,51.09761615384617,4.035434757038462,26,6,0,6
1,49.57100428571429,3.1623467187142857,35,6,0,6
2,50.15621393939394,4.992265124636363,33,6,0,6
3,50.507455937500005,2.8646290697812495,32,6,0,6
4,49.280635540540544,4.648813214027027,37,6,0,6
5,50.990052,5.2173894389600015,25,6,0,6
0,51.09761615384617,4.035434757038462,26,7,0,6
1,49.58523180555555,3.1689074415555556,36,7,0,6
2,50.15621393939394,4.992265124636363,33,7,0,6
3,50.52114177419356,2.847406370709677,31,7,0,6
4,49.280635540540544,4.648813214027027,37,7,0,6
5,50.990052,5.2173894389600015,25,7,0,6
0,51.09761615384617,4.035434757038462,26,8,0,6
1,49.59803689189189,3.1676193027567567,37,8,0,6
2,50.15621393939394,4.992265124636363,33,8,0,6
3,50.53654583333334,2.8382783728666663,30,8,0,6
4,49.280635540540544,4.648813214027027,37,8,0,6
5,50.990052,5.2173894389600015,25,8,0,6
0,51.09761615384617,4.035434757038462,26,9,0,6
1,49.61168381578947,3.1729745641315787,38,9,0,6
2,50.15621393939394,4.992265124636363,33,9,0,6
3,50.55102603448277,2.8199045500344826,29,9,0,6
4,49.280635540540544,4.648813214027027,37,9,0,6
5,50.990052,5.2173894389600015,25,9,0,6
0,51.09761615384617,4.035434757038462,26,10,0,6
1,49.61168381578947,3.1729745641315787,38,10,0,6
2,50.15621393939394,4.992265124636363,33,10,0,6
3,50.55102603448277,2.8199045500344826,29,10,0,6
4,49.280635540540544,4.648813214027027,37,10,0,6
5,50.990052,5.2173894389600015,25,10,0,6
0,50.070409814814816,4.279947957518519,27,0,0,7
1,50.03228574074074,4.113216657185185,27,0,0,7
2,50.17287833333334,3.8623447285555548,27,0,0,7
3,50.407466296296306,3.9666862359629627,27,0,0,7
4,50.247410740740754,4.011008691962964,27,0,0,7
5,50.20203203703704,4.3355756770000005,27,0,0,7
6,50.095176730769225,4.273080172153846,26,0,0,7
0,49.428759285714285,4.940717979857143,21,1,0,7
1,49.40065017241379,3.7932820984137936,29,1,0,7
2,49.9689840625,2.792940758687499,32,1,0,7
3,51.05847234375002,3.8300625098750003,32,1,0,7
4,50.637009285714285,3.7673395301428574,21,1,0,7
5,50.67668953125,5.164136033406249,32,1,0,7
6,49.73899857142857,4.971156992857142,21,1,0,7
0,49.229434285714284,4.950610981857143,21,2,0,7
1,49.37187000000001,3.7536895755666673,30,2,0,7
2,49.974010625,2.753256403718749,32,2,0,7
3,51.13417241935486,3.915011561161291,31,2,0,7
4,50.49695452380953,3.618547554142857,21,2,0,7
5,50.75347859374999,5.180268789,32,2,0,7
6,49.962017619047614,5.078855332904762,21,2,0,7
0,49.26222326086956,4.937447486565218,23,3,0,7
1,49.36529016129033,3.7149002850322583,31,3,0,7
2,49.98311916666667,2.733249739533333,30,3,0,7
3,51.10509931034485,3.972059386586207,29,3,0,7
4,50.510241428571426,3.3537149089999994,21,3,0,7
5,50.8384434375,5.215627426499999,32,3,0,7
6,50.02771772727272,5.0553925870909096,22,3,0,7
0,49.27604395833333,4.966672587583333,24,4,0,7
1,49.37490437500001,3.7001670895937506,32,4,0,7
2,49.990622678571434,2.6912686219285713,28,4,0,7
3,51.09761615384617,4.035434757038462,26,4,0,7
4,50.58437595238096,3.1593983426190473,21,4,0,7
5,50.91828810344827,5.25035655,29,4,0,7
6,50.116140535714294,4.927397280928572,28,4,0,7
0,49.27331099999999,4.939909177320001,25,5,0,7
1,49.400955156250006,3.6861987811562504,32,5,0,7
2,49.924129615384615,2.7829943371923074,26,5,0,7
3,51.09761615384617,4.035434757038462,26,5,0,7
4,50.65782833333334,2.9253096815714286,21,5,0,7
5,50.93394142857142,5.251163963714285,28,5,0,7
6,50.128605,4.908593396666666,30,5,0,7
0,49.28957096153845,4.93259565926923,26,6,0,7
1,49.3996575,3.7387900465666672,30,6,0,7
2,49.846179615384614,2.842272103230769,26,6,0,7
3,51.09065800000001,4.07618920844,25,6,0,7
4,50.664729375000014,2.8625631028333327,24,6,0,7
5,50.95097,5.245356963925925,27,6,0,7
6,50.15454166666667,4.930533238333333,30,6,0,7
0,49.292845,4.9579959924,25,7,0,7
1,49.42084672413793,3.8463482257241384,29,7,0,7
2,49.726349000000006,2.8484327786400003,25,7,0,7
3,51.09065800000001,4.07618920844,25,7,0,7
4,50.621790370370384,2.8261836988148143,27,7,0,7
5,50.990052,5.2173894389600015,25,7,0,7
6,50.173785625,4.9720593500625,32,7,0,7
0,49.29052833333333,4.9824661335,24,8,0,7
1,49.41730706896551,3.8854008758620693,29,8,0,7
2,49.69630500000001,2.8747321246400004,25,8,0,7
3,51.09065800000001,4.07618920844,25,8,0,7
4,50.606804821428575,2.8174164989285715,28,8,0,7
5,50.990052,5.2173894389600015,25,8,0,7
6,50.173785625,4.9720593500625,32,8,0,7
0,49.307747272727276,5.039541795045455,22,9,0,7
1,49.442176666666676,3.997789515666667,30,9,0,7
2,49.63945981481482,2.877989867851852,27,9,0,7
3,51.09065800000001,4.07618920844,25,9,0,7
4,50.606804821428575,2.8174164989285715,28,9,0,7
5,50.990052,5.2173894389600015,25,9,0,7
6,50.18523209677419,4.990989791258064,31,9,0,7
0,49.307747272727276,5.039541795045455,22,10,0,7
1,49.442176666666676,3.997789515666667,30,10,0,7
2,49.61931903846154,2.8587262024999998,26,10,0,7
3,51.09065800000001,4.07618920844,25,10,0,7
4,50.59150534482759,2.8367761081724137,29,10,0,7
5,50.990052,5.2173894389600015,25,10,0,7
6,50.18523209677419,4.990989791258064,31,10,0,7
0,49.307747272727276,5.039541795045455,22,11,0,7
1,49.442176666666676,3.997789515666667,30,11,0,7
2,49.599427000000006,2.8382304812,25,11,0,7
3,51.09761615384617,4.035434757038462,26,11,0,7
4,50.55167948275864,2.8490018241379302,29,11,0,7
5,50.990052,5.2173894389600015,25,11,0,7
6,50.18523209677419,4.990989791258064,31,11,0,7
0,49.307747272727276,5.039541795045455,22,12,0,7
1,49.442176666666676,3.997789515666667,30,12,0,7
2,49.55673086956523,2.8273883044782617,23,12,0,7
3,51.09761615384617,4.035434757038462,26,12,0,7
4,50.521921612903235,2.856351094419354,31,12,0,7
5,50.990052,5.2173894389600015,25,12,0,7
6,50.18523209677419,4.990989791258064,31,12,0,7
0,49.307747272727276,5.039541795045455,22,13,0,7
1,49.442176666666676,3.997789515666667,30,13,0,7
2,49.50952119047619,2.796884606952381,21,13,0,7
3,51.07458296296298,4.025206787592593,27,13,0,7
4,50.49402234375,2.8463424563124993,32,13,0,7
5,50.990052,5.2173894389600015,25,13,0,7
6,50.18523209677419,4.990989791258064,31,13,0,7
0,49.307747272727276,5.039541795045455,22,14,0,7
1,49.442176666666676,3.997789515666667,30,14,0,7
2,49.50952119047619,2.796884606952381,21,14,0,7
3,51.07458296296298,4.025206787592593,27,14,0,7
4,50.49402234375,2.8463424563124993,32,14,0,7
5,50.990052,5.2173894389600015,25,14,0,7
6,50.18523209677419,4.990989791258064,31,14,0,7
0,50.15437,3.8037121660000004,24,0,0,8
1,50.35439812500001,4.025958390583334,24,0,0,8
2,50.17318875000001,4.211670215583334,24,0,0,8
3,50.103521041666674,3.983111373125,24,0,0,8
4,50.13578630434783,4.172650866826086,23,0,0,8
5,50.27256239130435,4.569294417521739,23,0,0,8
6,50.0375645652174,4.170930064043478,23,0,0,8
7,50.17148521739131,4.038006894652173,23,0,0,8
0,50.12187446428571,2.754829666928571,28,1,0,8
1,51.08036464285716,3.863626870857143,28,1,0,8
2,50.6509107894737,5.115931606052632,19,1,0,8
3,49.517785789473685,3.3119405875263155,19,1,0,8
4,49.56222657894737,4.84482663,19,1,0,8
5,50.57275660714286,5.1024700141785715,28,1,0,8
